frame_index,count,mask_occupancy,count_delta,status,events
319,0,0.0,0,ALERT,EMPTY_SCENE
320,0,0.0,0,ALERT,EMPTY_SCENE
321,0,0.0,0,ALERT,EMPTY_SCENE
322,0,0.0,0,ALERT,EMPTY_SCENE
323,0,0.0,0,ALERT,EMPTY_SCENE
324,0,0.0,0,ALERT,EMPTY_SCENE
325,0,0.0,0,ALERT,EMPTY_SCENE
326,0,0.0,0,ALERT,EMPTY_SCENE
327,0,0.0,0,ALERT,EMPTY_SCENE
328,0,0.0,0,ALERT,EMPTY_SCENE
329,0,0.0,0,ALERT,EMPTY_SCENE
330,0,0.0,0,ALERT,EMPTY_SCENE
331,0,0.0,0,ALERT,EMPTY_SCENE
332,0,0.0,0,ALERT,EMPTY_SCENE
333,0,0.0,0,ALERT,EMPTY_SCENE
334,0,0.0,0,ALERT,EMPTY_SCENE
335,0,0.0,0,ALERT,EMPTY_SCENE
336,0,0.0,0,ALERT,EMPTY_SCENE
337,0,0.0,0,ALERT,EMPTY_SCENE
338,0,0.0,0,ALERT,EMPTY_SCENE
339,0,0.0,0,ALERT,EMPTY_SCENE
340,0,0.0,0,ALERT,EMPTY_SCENE
341,0,0.0,0,ALERT,EMPTY_SCENE
342,0,0.0,0,ALERT,EMPTY_SCENE
343,0,0.0,0,ALERT,EMPTY_SCENE
344,0,0.0,0,ALERT,EMPTY_SCENE
345,0,0.0,0,ALERT,EMPTY_SCENE
346,0,0.0,0,ALERT,EMPTY_SCENE
347,0,0.0,0,ALERT,EMPTY_SCENE
348,0,0.0,0,ALERT,EMPTY_SCENE
349,0,0.0,0,ALERT,EMPTY_SCENE
350,0,0.0,0,ALERT,EMPTY_SCENE
351,0,0.0,0,ALERT,EMPTY_SCENE
352,0,0.0,0,ALERT,EMPTY_SCENE
353,0,0.0,0,ALERT,EMPTY_SCENE
354,0,0.0,0,ALERT,EMPTY_SCENE
355,0,0.0,0,ALERT,EMPTY_SCENE
356,0,0.0,0,ALERT,EMPTY_SCENE
357,0,0.0,0,ALERT,EMPTY_SCENE
358,0,0.0,0,ALERT,EMPTY_SCENE
359,0,0.0,0,ALERT,EMPTY_SCENE
360,0,0.0,0,ALERT,EMPTY_SCENE
361,0,0.0,0,ALERT,EMPTY_SCENE
362,0,0.0,0,ALERT,EMPTY_SCENE
363,0,0.0,0,ALERT,EMPTY_SCENE
364,0,0.0,0,ALERT,EMPTY_SCENE
365,0,0.0,0,ALERT,EMPTY_SCENE
366,0,0.0,0,ALERT,EMPTY_SCENE
367,0,0.0,0,ALERT,EMPTY_SCENE
368,0,0.0,0,ALERT,EMPTY_SCENE
369,0,0.0,0,ALERT,EMPTY_SCENE
370,0,0.0,0,ALERT,EMPTY_SCENE
371,0,0.0,0,ALERT,EMPTY_SCENE
372,0,0.0,0,ALERT,EMPTY_SCENE
373,0,0.0,0,ALERT,EMPTY_SCENE
374,0,0.0,0,ALERT,EMPTY_SCENE
375,0,0.0,0,ALERT,EMPTY_SCENE
376,0,0.0,0,ALERT,EMPTY_SCENE
377,0,0.0,0,ALERT,EMPTY_SCENE
378,0,0.0,0,ALERT,EMPTY_SCENE
379,0,0.0,0,ALERT,EMPTY_SCENE
380,0,0.0,0,ALERT,EMPTY_SCENE
381,0,0.0,0,ALERT,EMPTY_SCENE
382,0,0.0,0,ALERT,EMPTY_SCENE
383,0,0.0,0,ALERT,EMPTY_SCENE
384,0,0.0,0,ALERT,EMPTY_SCENE
385,0,0.0,0,ALERT,EMPTY_SCENE
386,0,0.0,0,ALERT,EMPTY_SCENE
387,0,0.0,0,ALERT,EMPTY_SCENE
388,0,0.0,0,ALERT,EMPTY_SCENE
389,0,0.0,0,ALERT,EMPTY_SCENE
390,0,0.0,0,ALERT,EMPTY_SCENE
391,0,0.0,0,ALERT,EMPTY_SCENE
392,0,0.0,0,ALERT,EMPTY_SCENE
393,0,0.0,0,ALERT,EMPTY_SCENE
394,0,0.0,0,ALERT,EMPTY_SCENE
395,0,0.0,0,ALERT,EMPTY_SCENE
396,0,0.0,0,ALERT,EMPTY_SCENE
397,0,0.0,0,ALERT,EMPTY_SCENE
398,0,0.0,0,ALERT,EMPTY_SCENE
399,0,0.0,0,ALERT,EMPTY_SCENE
400,0,0.0,0,ALERT,EMPTY_SCENE
401,0,0.0,0,ALERT,EMPTY_SCENE
402,0,0.0,0,ALERT,EMPTY_SCENE
403,0,0.0,0,ALERT,EMPTY_SCENE
404,0,0.0,0,ALERT,EMPTY_SCENE
405,0,0.0,0,ALERT,EMPTY_SCENE
406,0,0.0,0,ALERT,EMPTY_SCENE
407,0,0.0,0,ALERT,EMPTY_SCENE
408,0,0.0,0,ALERT,EMPTY_SCENE
409,0,0.0,0,ALERT,EMPTY_SCENE
410,0,0.0,0,ALERT,EMPTY_SCENE
411,0,0.0,0,ALERT,EMPTY_SCENE
412,0,0.0,0,ALERT,EMPTY_SCENE
413,0,0.0,0,ALERT,EMPTY_SCENE
414,0,0.0,0,ALERT,EMPTY_SCENE
415,0,0.0,0,ALERT,EMPTY_SCENE
416,0,0.0,0,ALERT,EMPTY_SCENE
417,0,0.0,0,ALERT,EMPTY_SCENE
418,0,0.0,0,ALERT,EMPTY_SCENE
419,0,0.0,0,ALERT,EMPTY_SCENE
420,0,0.0,0,ALERT,EMPTY_SCENE
421,0,0.0,0,ALERT,EMPTY_SCENE
422,0,0.0,0,ALERT,EMPTY_SCENE
423,0,0.0,0,ALERT,EMPTY_SCENE
424,0,0.0,0,ALERT,EMPTY_SCENE
425,0,0.0,0,ALERT,EMPTY_SCENE
426,0,0.0,0,ALERT,EMPTY_SCENE
427,0,0.0,0,ALERT,EMPTY_SCENE
428,0,0.0,0,ALERT,EMPTY_SCENE
429,0,0.0,0,ALERT,EMPTY_SCENE
430,0,0.0,0,ALERT,EMPTY_SCENE
431,0,0.0,0,ALERT,EMPTY_SCENE
432,0,0.0,0,ALERT,EMPTY_SCENE
433,0,0.0,0,ALERT,EMPTY_SCENE
434,0,0.0,0,ALERT,EMPTY_SCENE
435,0,0.0,0,ALERT,EMPTY_SCENE
436,0,0.0,0,ALERT,EMPTY_SCENE
437,0,0.0,0,ALERT,EMPTY_SCENE
438,0,0.0,0,ALERT,EMPTY_SCENE
439,0,0.0,0,ALERT,EMPTY_SCENE
440,0,0.0,0,ALERT,EMPTY_SCENE
441,0,0.0,0,ALERT,EMPTY_SCENE
442,0,0.0,0,ALERT,EMPTY_SCENE
443,0,0.0,0,ALERT,EMPTY_SCENE
444,0,0.0,0,ALERT,EMPTY_SCENE
445,0,0.0,0,ALERT,EMPTY_SCENE
