frame_index,event_type,count,mask_occupancy,count_delta
634,EMPTY_SCENE,0,0.0,0
635,EMPTY_SCENE,0,0.0,0
636,EMPTY_SCENE,0,0.0,0
637,EMPTY_SCENE,0,0.0,0
638,EMPTY_SCENE,0,0.0,0
639,EMPTY_SCENE,0,0.0,0
640,EMPTY_SCENE,0,0.0,0
641,EMPTY_SCENE,0,0.0,0
642,EMPTY_SCENE,0,0.0,0
643,EMPTY_SCENE,0,0.0,0
644,EMPTY_SCENE,0,0.0,0
645,EMPTY_SCENE,0,0.0,0
646,EMPTY_SCENE,0,0.0,0
647,EMPTY_SCENE,0,0.0,0
648,EMPTY_SCENE,0,0.0,0
649,EMPTY_SCENE,0,0.0,0
650,EMPTY_SCENE,0,0.0,0
651,EMPTY_SCENE,0,0.0,0
652,EMPTY_SCENE,0,0.0,0
653,EMPTY_SCENE,0,0.0,0
654,EMPTY_SCENE,0,0.0,0
655,EMPTY_SCENE,0,0.0,0
656,EMPTY_SCENE,0,0.0,0
657,EMPTY_SCENE,0,0.0,0
658,EMPTY_SCENE,0,0.0,0
659,EMPTY_SCENE,0,0.0,0
660,EMPTY_SCENE,0,0.0,0
661,EMPTY_SCENE,0,0.0,0
662,EMPTY_SCENE,0,0.0,0
663,EMPTY_SCENE,0,0.0,0
664,EMPTY_SCENE,0,0.0,0
665,EMPTY_SCENE,0,0.0,0
666,EMPTY_SCENE,0,0.0,0
667,EMPTY_SCENE,0,0.0,0
668,EMPTY_SCENE,0,0.0,0
669,EMPTY_SCENE,0,0.0,0
670,EMPTY_SCENE,0,0.0,0
671,EMPTY_SCENE,0,0.0,0
672,EMPTY_SCENE,0,0.0,0
673,EMPTY_SCENE,0,0.0,0
674,EMPTY_SCENE,0,0.0,0
675,EMPTY_SCENE,0,0.0,0
676,EMPTY_SCENE,0,0.0,0
677,EMPTY_SCENE,0,0.0,0
678,EMPTY_SCENE,0,0.0,0
679,EMPTY_SCENE,0,0.0,0
680,EMPTY_SCENE,0,0.0,0
681,EMPTY_SCENE,0,0.0,0
682,EMPTY_SCENE,0,0.0,0
683,EMPTY_SCENE,0,0.0,0
684,EMPTY_SCENE,0,0.0,0
685,EMPTY_SCENE,0,0.0,0
686,EMPTY_SCENE,0,0.0,0
687,EMPTY_SCENE,0,0.0,0
688,EMPTY_SCENE,0,0.0,0
689,EMPTY_SCENE,0,0.0,0
690,EMPTY_SCENE,0,0.0,0
691,EMPTY_SCENE,0,0.0,0
692,EMPTY_SCENE,0,0.0,0
693,EMPTY_SCENE,0,0.0,0
694,EMPTY_SCENE,0,0.0,0
695,EMPTY_SCENE,0,0.0,0
696,EMPTY_SCENE,0,0.0,0
697,EMPTY_SCENE,0,0.0,0
698,EMPTY_SCENE,0,0.0,0
699,EMPTY_SCENE,0,0.0,0
700,EMPTY_SCENE,0,0.0,0
701,EMPTY_SCENE,0,0.0,0
702,EMPTY_SCENE,0,0.0,0
